date,exercise,sets/reps/weight
2026-01-06,back squat,5@185 5@225 5@265 5@285 5@305
2026-01-06,bench press,5@135 5@165 5@195 5@215 5@225
2026-01-06,pendlay row,5@115 5@135 5@155 5@165 5@175
2026-01-08,deadlift,5@185 3@225 2@255 1@285 1@315 1@345 1@365
2026-01-08,overhead press,5@85 5@105 5@125 5@135 4@145
2026-01-13,back squat,5@195 5@235 5@275 5@295 5@315
2026-01-13,bench press,5@135 5@165 5@195 5@215 5@235
2026-01-13,pendlay row,5@125 5@145 5@165 5@175 5@185
2026-01-15,trap bar deadlift,3@225 3@275 3@325 3@345 3@365 3@385 3@405
2026-01-15,overhead press,5@95 5@115 5x5@135
2026-01-19,front squat,5@95 5@135 5@155 5@175
2026-01-20,back squat,3@195 3@235 3@275 5x3@315
2026-01-20,bench press,3@135 3@165 3@195 5x3@225
2026-01-20,pendlay row,3@115 3@135 3@155 5x3@175
2026-01-29,front squat,5@95 5@135 5@175
2026-01-29,bench press,5@135 5@155 5@175
2026-01-29,deadlift,5@135 3@185 2@225 1@275 1@315 1@335 1@355
2026-02-03,back squat,5@135 5@185 5@235
2026-02-03,bench press,5@135 5@155 5@175 5@195
2026-02-03,pendlay row,5@115 5@135 5@155 5@175
2026-02-17,back squat,5@195 5@225 3x5@255
2026-02-17,bench press,5@145 5@174 3x5@205
2026-02-17,pendlay row,5@115 5@135 5@155 5@165 5@175
2026-02-19,deadlift,5@225 5@275 3x5@315
2026-02-19,overhead press,5@75 5@95 3x5@115
2026-02-24,back squat,5@195 5@235 3x5@275
2026-02-24,bench press,5@155 5@185 3x5@215
2026-02-24,pendlay row,8@115 8@135 3x8@155
2026-02-26,deadlift,5@235 5@285 3x5@335
2026-02-26,overhead press,5@85 5@105 3x5@125
2026-03-03,back squat,5@185 3@225 2@255 1@275 3x5@295
2026-03-03,bench press,5@135 3@165 2@195 1@215 3x5@225
2026-03-03,pendlay row,5@115 5@135 5x5@155
